what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196824129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196829047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196830516
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489196830788
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489196831364
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489196832663
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489196832889
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489196837845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196840999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196854755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196868964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196871749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196872754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196880497
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489196881336
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489196883204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196886694
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489196888449
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489196890392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196890603
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489196890607
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489196895749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196914154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196925872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196959788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196969387
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489196970632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489196973485
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489196975380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196978488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196980409
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489196980664
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489196982173
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489196982456
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489196987825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489196996511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489197653276
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489197653298
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197653491
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197653581
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489197653986
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197654199
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197654276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489197684707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489197688597
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197780365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489197782987
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197787305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489197795007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1489197798552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489197802550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489197806459
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489197814294
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197816764
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197816837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489197819615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1489197819646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489197829053
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489197829229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489197830946
